InvoiceId,InvoiceDate,InvoiceAmount,CustomerId
2050,4/1/2019,180.4,1653
2051,4/1/2019,103.6,1654
2052,4/1/2019,164.75,1655
2053,4/1/2019,158.45,1656
2054,4/1/2019,125.9,1657
2055,4/1/2019,49.95,1658
2056,4/1/2019,524.35,1659
2057,4/1/2019,89.85,1660
2058,4/1/2019,69.95,1661
2059,4/1/2019,100,1662
2060,4/1/2019,77.7,1663
2061,4/1/2019,311.3,1664
2062,4/1/2019,79.8,1665
2063,4/1/2019,284.4,1666
2064,4/1/2019,122.19,1667
2065,4/1/2019,100,1668
2066,4/1/2019,59.85,1669
2067,4/1/2019,247.45,1670
2068,4/1/2019,568.35,1671
2069,4/1/2019,149.75,1672
2070,4/1/2019,131.4,154
2071,4/1/2019,489.3,971
2072,4/1/2019,139.65,851
2073,4/1/2019,92.7,335
2074,4/1/2019,26.55,17
2075,4/1/2019,159.6,1551
2076,4/1/2019,252.7,1403
2077,4/1/2019,155.65,102
2078,4/1/2019,399.55,1066
2079,4/2/2019,67.5,1673
2080,4/2/2019,1079.1,1674
2081,4/2/2019,59.8,1675
2082,4/2/2019,599.5,1676
2083,4/2/2019,449.55,1677
2084,4/2/2019,99.9,1678
2085,4/2/2019,224.8,1679
2086,4/2/2019,79.8,1680
2087,4/2/2019,378.4,1681
2088,4/2/2019,51.8,1682
2089,4/2/2019,216.45,1683
2090,4/2/2019,320.45,1684
2091,4/2/2019,50.9,1685
2092,4/2/2019,39.9,1686
2093,4/2/2019,104.65,1687
2094,4/2/2019,449.55,1688
2095,4/2/2019,317.15,1689
2096,4/2/2019,171.35,1690
2097,4/2/2019,19.95,1691
2098,4/2/2019,122.02,1692
2099,4/2/2019,411.5,1693
2100,4/2/2019,402.45,1694
2101,4/2/2019,399.6,1695
2102,4/2/2019,352.2,1696
2103,4/2/2019,164.65,1697
2104,4/2/2019,249.6,1698
2105,4/2/2019,66.75,1699
2106,4/2/2019,184.45,1700
2107,4/2/2019,305.3,1701
2108,4/2/2019,111.8,38
2109,4/2/2019,181.3,290
2110,4/2/2019,2.95,1030
2111,4/2/2019,203.15,84
2112,4/2/2019,579.2,1126
2113,4/2/2019,233.1,508
2114,4/2/2019,128.25,798
2115,4/2/2019,20.65,335
2116,4/2/2019,27.95,1699
2117,4/2/2019,424.4,1403
2118,4/3/2019,51.8,1702
2119,4/3/2019,202.75,1703
2120,4/3/2019,274.35,1704
2121,4/3/2019,47.6,1705
2122,4/3/2019,269.7,1706
2123,4/3/2019,99.75,1707
2124,4/3/2019,258.2,1708
